Year(Q),    National income,Compensation of employees,  Wages and salaries,    Government,    Other,  Supplements to wages and salaries
1947Q1,213000,128989,118864,17126,101738,10125
1947Q2,215599,130787,121260,17346,103914,9526
1947Q3,219196,132781,123988,17598,106390,8793
1947Q4,227168,136877,128267,17973,110294,8610
1948Q1,235848,140405,131665,18294,113371,8740
1948Q2,244049,142070,133378,18631,114747,8692
1948Q3,248774,146847,138057,19254,118803,8790
1948Q4,250735,147929,139101,19902,119199,8828
1949Q1,243317,146267,136742,20350,116392,9525
1949Q2,239735,144680,135005,20689,114316,9675
1949Q3,239882,143608,133983,21079,112904,9625
1949Q4,235983,142780,133202,21190,112012,9578
1950Q1,246329,147004,136870,21225,115645,10133
1950Q2,258482,153616,143042,21804,121238,10574
1950Q3,275558,162303,151025,22958,128067,11277
1950Q4,286082,170150,158074,24545,133529,12076
1951Q1,297818,178566,165333,26706,138627,13233
1951Q2,305197,184901,170993,28509,142484,13907
1951Q3,310552,187854,173494,30184,143310,14360
1951Q4,316979,191495,176605,31516,145089,14889
1952Q1,318523,196097,181006,32439,148567,15091
1952Q2,320447,197426,182120,33135,148985,15306
1952Q3,326976,201503,185952,33761,152191,15551
1952Q4,338501,209326,193466,34177,159289,15860
1953Q1,344485,213123,197069,34321,162748,16054
1953Q2,347303,216209,200027,34355,165672,16182
1953Q3,345593,216523,200146,34287,165859,16377
1953Q4,337974,215129,198715,34389,164326,16414
1954Q1,339616,213112,196401,34397,162004,16711
1954Q2,339906,212684,195957,34717,161240,16727
1954Q3,343287,213224,196334,35129,161205,16890
1954Q4,352199,217536,200360,35377,164983,17176
1955Q1,364606,221895,204056,35482,168574,17839
1955Q2,373957,228083,209851,36234,173617,18232
1955Q3,381358,233910,215246,37398,177848,18664
1955Q4,387693,238391,219451,37270,182181,18940
1956Q1,391241,242828,223282,37836,185446,19546
1956Q2,397010,247491,227501,38532,188969,19990
1956Q3,401885,250420,229953,39184,190769,20467
1956Q4,410083,256363,235367,39656,195711,20996
1957Q1,416849,260222,238266,40229,198037,21956
1957Q2,418912,262057,239617,40733,198884,22440
1957Q3,422581,264724,241829,41501,200328,22895
1957Q4,415786,263301,240092,41589,198503,23209
1958Q1,409686,259767,236724,42035,194689,23043
1958Q2,411600,259426,236276,43091,193185,23150
1958Q3,424479,267228,243837,46107,197730,23391
1958Q4,437247,272263,248432,45255,203177,23831
1959Q1,448267,279746,254011,45456,208555,25735
1959Q2,462360,286458,260556,45844,214712,25902
1959Q3,459614,286926,260899,46236,214663,26027
1959Q4,464844,290187,263902,46680,217222,26285
1960Q1,478066,298735,270749,47712,223037,27986
1960Q2,478810,301716,273398,48636,224762,28318
1960Q3,480248,302573,273964,49872,224092,28609
1960Q4,478467,302104,273308,50508,222800,28796
1961Q1,480301,303112,273789,51104,222685,29323
1961Q2,489935,307313,277633,51800,225833,29680
1961Q3,499689,312320,282252,52792,229460,30068
1961Q4,514228,318939,288403,54188,234215,30536
1962Q1,523404,325482,293276,55300,237976,32206
1962Q2,530536,331427,298747,55976,242771,32680
1962Q3,536928,334241,301175,56488,244687,33066
